     28691:	symbol=_nl_domain_bindings;  lookup in file=a.out [0]
     28691:	symbol=_nl_domain_bindings;  lookup in file=./libFoo.so [0]
     28691:	symbol=_nl_domain_bindings;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_nl_domain_bindings;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_nl_domain_bindings;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_nl_domain_bindings;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__ctype_tolower;  lookup in file=a.out [0]
     28691:	symbol=__ctype_tolower;  lookup in file=./libFoo.so [0]
     28691:	symbol=__ctype_tolower;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__ctype_tolower;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__ctype_tolower;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__ctype_tolower;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=stderr;  lookup in file=a.out [0]
     28691:	symbol=stderr;  lookup in file=./libFoo.so [0]
     28691:	symbol=stderr;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=stderr;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=stderr;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=stderr;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__libc_enable_secure;  lookup in file=a.out [0]
     28691:	symbol=__libc_enable_secure;  lookup in file=./libFoo.so [0]
     28691:	symbol=__libc_enable_secure;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__libc_enable_secure;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__libc_enable_secure;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__libc_enable_secure;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__libc_enable_secure;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     28691:	symbol=_res_hconf;  lookup in file=a.out [0]
     28691:	symbol=_res_hconf;  lookup in file=./libFoo.so [0]
     28691:	symbol=_res_hconf;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_res_hconf;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_res_hconf;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_res_hconf;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=argp_program_bug_address;  lookup in file=a.out [0]
     28691:	symbol=argp_program_bug_address;  lookup in file=./libFoo.so [0]
     28691:	symbol=argp_program_bug_address;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=argp_program_bug_address;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=argp_program_bug_address;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=argp_program_bug_address;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=h_errlist;  lookup in file=a.out [0]
     28691:	symbol=h_errlist;  lookup in file=./libFoo.so [0]
     28691:	symbol=h_errlist;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=h_errlist;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=h_errlist;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=h_errlist;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=optind;  lookup in file=a.out [0]
     28691:	symbol=optind;  lookup in file=./libFoo.so [0]
     28691:	symbol=optind;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=optind;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=optind;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=optind;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_dl_argv;  lookup in file=a.out [0]
     28691:	symbol=_dl_argv;  lookup in file=./libFoo.so [0]
     28691:	symbol=_dl_argv;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=_dl_argv;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=_dl_argv;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=_dl_argv;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_dl_argv;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     28691:	symbol=svc_fdset;  lookup in file=a.out [0]
     28691:	symbol=svc_fdset;  lookup in file=./libFoo.so [0]
     28691:	symbol=svc_fdset;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=svc_fdset;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=svc_fdset;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=svc_fdset;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=re_syntax_options;  lookup in file=a.out [0]
     28691:	symbol=re_syntax_options;  lookup in file=./libFoo.so [0]
     28691:	symbol=re_syntax_options;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=re_syntax_options;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=re_syntax_options;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=re_syntax_options;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__rcmd_errstr;  lookup in file=a.out [0]
     28691:	symbol=__rcmd_errstr;  lookup in file=./libFoo.so [0]
     28691:	symbol=__rcmd_errstr;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__rcmd_errstr;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__rcmd_errstr;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__rcmd_errstr;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__daylight;  lookup in file=a.out [0]
     28691:	symbol=__daylight;  lookup in file=./libFoo.so [0]
     28691:	symbol=__daylight;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__daylight;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__daylight;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__daylight;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=error_print_progname;  lookup in file=a.out [0]
     28691:	symbol=error_print_progname;  lookup in file=./libFoo.so [0]
     28691:	symbol=error_print_progname;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=error_print_progname;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=error_print_progname;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=error_print_progname;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=__morecore;  lookup in file=a.out [0]
     28691:	symbol=__morecore;  lookup in file=./libFoo.so [0]
     28691:	symbol=__morecore;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=__morecore;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=__morecore;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=__morecore;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=getdate_err;  lookup in file=a.out [0]
     28691:	symbol=getdate_err;  lookup in file=./libFoo.so [0]
     28691:	symbol=getdate_err;  lookup in file=/usr/lib64/libstdc++.so.6 [0]
     28691:	symbol=getdate_err;  lookup in file=/lib64/libm.so.6 [0]
     28691:	symbol=getdate_err;  lookup in file=/lib64/libgcc_s.so.1 [0]
     28691:	symbol=getdate_err;  lookup in file=/lib64/libc.so.6 [0]
     28691:	symbol=_nl_msg_cat_cntr;  lookup in file=a.out [0]
     28691:	symbol=_nl_msg_cat_cntr;  lookup in file=./libFoo.so [0]
